studyHours,attendance,assignments,previousMarks,marks,finalScore
1.2,55,48,45,50,47
2.0,60,58,52,56,54
3.5,78,80,70,75,76
4.0,82,85,74,79,80
5.5,90,92,86,88,90
6.0,94,95,89,91,93
2.8,68,64,60,62,63
3.0,72,70,66,69,68
1.5,58,50,48,52,50
4.5,86,88,80,84,85
2.2,63,61,56,60,59
5.0,88,90,82,86,87
3.8,76,79,72,77,78
1.8,57,54,50,55,53
6.5,96,98,92,95,96
2.5,66,62,59,61,60
4.8,84,86,78,82,83
3.1,74,73,67,71,70
5.2,89,91,84,87,88
1.0,50,45,40,46,43
2.7,67,65,60,63,62
3.6,79,81,73,76,77
4.2,83,87,77,81,82
5.8,91,94,88,90,92
6.2,95,97,91,94,95
1.4,56,49,46,51,48
2.1,61,57,53,57,55
3.3,75,74,68,72,72
4.7,85,89,79,83,84
5.4,90,93,85,89,90
2.9,69,67,62,64,64
3.9,80,82,75,78,79
4.1,81,84,76,80,81
5.6,92,95,87,91,92
1.7,59,52,49,54,52
2.4,64,60,57,59,58
3.7,77,78,71,74,75
4.4,84,85,78,82,83
5.1,88,90,83,86,87
6.3,97,98,93,96,97
0.8,48,40,38,44,41
1.9,60,55,51,56,54
2.6,65,63,58,61,60
3.4,73,72,66,70,70
4.6,87,88,81,85,86
5.3,89,92,84,88,89
6.1,93,96,90,93,94
2.3,62,59,55,58,57
3.2,71,71,65,68,69
4.3,82,86,77,81,82
5.7,91,93,86,90,91
6.4,98,99,94,97,98
1.3,54,47,44,49,46
2.8,70,66,61,64,64
3.5,76,77,70,74,75
4.0,80,83,74,79,80
4.9,86,89,80,84,85
5.5,90,92,85,88,89
6.0,94,96,89,92,93
1.6,57,51,47,53,51
2.7,68,64,60,63,62
3.8,78,80,72,76,77
4.5,85,87,79,83,84
5.2,89,91,84,87,88
6.6,97,99,93,96,97
1.1,53,46,43,48,45
2.0,60,56,52,57,55
3.1,72,70,65,69,69
4.2,83,85,77,81,82
5.0,87,90,82,86,87
5.9,92,94,88,90,91
6.7,98,99,95,97,98
0.9,49,42,39,45,42
1.8,58,53,49,54,52
2.5,64,61,57,60,59
3.3,74,73,67,71,71
4.1,81,84,76,80,81
4.8,86,88,80,84,85
5.6,91,93,86,89,90
6.2,95,97,91,94,95
1.4,55,48,45,50,47
2.2,62,58,54,58,56
3.6,77,79,71,75,76
4.4,84,86,78,82,83
5.1,88,90,83,86,87
5.8,92,94,87,90,91
6.5,96,98,92,95,96
1.7,59,52,48,54,52
2.6,66,63,59,62,61
3.4,75,75,68,72,72
4.7,86,89,80,84,85
5.3,90,92,85,88,89
6.0,94,96,89,92,93
1.5,56,50,46,52,49
2.9,69,67,62,65,64
3.7,78,78,72,76,77
4.3,83,85,77,81,82
5.4,89,92,85,88,89
6.1,95,97,90,93,94
